"","C","gene"
"ENSG00000258565","4","ENSG00000258565"
"FNBP1L","2","FNBP1L"
"B3GNT5","1","B3GNT5"
"ATF7IP2","4","ATF7IP2"
"ADA2","1","ADA2"
"BEX4","1","BEX4"
"CNTN1","4","CNTN1"
"PDK3","4","PDK3"
"CFI","1","CFI"
"PTGFRN","4","PTGFRN"
"ACTG2","1","ACTG2"
"FOXL2","2","FOXL2"
"FRRS1","3","FRRS1"
"CORIN","2","CORIN"
"ENSG00000271811","4","ENSG00000271811"
"HSBP1L1","2","HSBP1L1"
"COL21A1","1","COL21A1"
"A2M","4","A2M"
"DNAJA4","1","DNAJA4"
"CHD7","1","CHD7"
"ACSS3","2","ACSS3"
"MGST2","1","MGST2"
"MGP","4","MGP"
"SPATA13_ENSG00000182957","2","SPATA13_ENSG00000182957"
"ZFP3","2","ZFP3"
"PTGIS","4","PTGIS"
"SPATA18","1","SPATA18"
"CCDC120","2","CCDC120"
"MBNL3","2","MBNL3"
"ZNF229","2","ZNF229"
"CDCP1","1","CDCP1"
"RELN","3","RELN"
"ASAP1-IT2","4","ASAP1-IT2"
"CES4A","2","CES4A"
"HSPB3","2","HSPB3"
"CDIP1","2","CDIP1"
"AFF2","1","AFF2"
"RNF182","2","RNF182"
"ENSG00000229585","4","ENSG00000229585"
"ANO3","1","ANO3"
"FLG-AS1","2","FLG-AS1"
"ZNF660","1","ZNF660"
"KIT","2","KIT"
"PLXNC1","2","PLXNC1"
"SLC2A8","2","SLC2A8"
"DCHS1","1","DCHS1"
"ZNF154","1","ZNF154"
"PGAP4","2","PGAP4"
"MAFB","1","MAFB"
"CD177","1","CD177"
"STMN2","2","STMN2"
"SYT12","1","SYT12"
"FN3K","1","FN3K"
"FAM89A","2","FAM89A"
"RN7SL1","3","RN7SL1"
"ENSG00000239763","4","ENSG00000239763"
"FAM83H","4","FAM83H"
"ENSG00000259969","1","ENSG00000259969"
"HUNK","2","HUNK"
"MAGEE1","2","MAGEE1"
"PHYHD1","2","PHYHD1"
"NTRK3","1","NTRK3"
"RNF180","4","RNF180"
"GAS7","1","GAS7"
"DNALI1","2","DNALI1"
"DIO2","1","DIO2"
"CLEC2B","1","CLEC2B"
"CNTNAP2","2","CNTNAP2"
"TCEAL2","4","TCEAL2"
"KRT19","1","KRT19"
"ARHGEF4","1","ARHGEF4"
"ANXA10","3","ANXA10"
"BIRC3","2","BIRC3"
"PABPC5","2","PABPC5"
"CST6","1","CST6"
"MALL","3","MALL"
"DUSP4","1","DUSP4"
"PARP8","2","PARP8"
"PALMD","1","PALMD"
"OAS2","3","OAS2"
"L1CAM","2","L1CAM"
"HTR1B","2","HTR1B"
"MTUS1","1","MTUS1"
"UBE2QL1","1","UBE2QL1"
"RGS16","1","RGS16"
"LRRK2","2","LRRK2"
"ARHGEF5","1","ARHGEF5"
"FILIP1","1","FILIP1"
"PNMA8B","1","PNMA8B"
"ENSG00000285596","4","ENSG00000285596"
"SPECC1","4","SPECC1"
"CCL20","3","CCL20"
"CLUHP3","2","CLUHP3"
"SHF","1","SHF"
"RBP1","1","RBP1"
"PRR5","1","PRR5"
"STK33","1","STK33"
"CTSH","1","CTSH"
"ENSG00000279203","4","ENSG00000279203"
"CREB5","2","CREB5"
"SIM1","2","SIM1"
"ZNF711","1","ZNF711"
"ZNF536","1","ZNF536"
"CDO1","1","CDO1"
"CYB5R2","1","CYB5R2"
"ZNF665","1","ZNF665"
"ZKSCAN7","2","ZKSCAN7"
"RPL7AP28","1","RPL7AP28"
"EGFLAM","1","EGFLAM"
"GAP43","1","GAP43"
"MIR12136","4","MIR12136"
"ADGRD1","4","ADGRD1"
"LARGE1","2","LARGE1"
"LOC101927815","2","LOC101927815"
"LINC01305","4","LINC01305"
"CTTNBP2","2","CTTNBP2"
"LYNX1","1","LYNX1"
"NKX2-5","1","NKX2-5"
"PPFIBP2","2","PPFIBP2"
"SPESP1","2","SPESP1"
"TMEM132B","2","TMEM132B"
"GPX3","1","GPX3"
"EREG","3","EREG"
"TRIL","4","TRIL"
"FGF16","3","FGF16"
"EMX2OS","4","EMX2OS"
"ENSG00000278983","4","ENSG00000278983"
"ANKFN1","2","ANKFN1"
"VWA5A","4","VWA5A"
"ADRA2A","1","ADRA2A"
"PDE10A","3","PDE10A"
"ANKRD29","2","ANKRD29"
"SLC40A1","2","SLC40A1"
"SYNDIG1","1","SYNDIG1"
"LINC00327","2","LINC00327"
"ENSG00000278893","1","ENSG00000278893"
"LRRC3","1","LRRC3"
"KRT16","3","KRT16"
"SLC22A15","4","SLC22A15"
"BHMT2","2","BHMT2"
"PPFIA4","1","PPFIA4"
"SLC6A17","2","SLC6A17"
"TMEM178B","2","TMEM178B"
"RASGRF2","2","RASGRF2"
"ANKS1B","2","ANKS1B"
"RN7SL600P","4","RN7SL600P"
"TRAM1L1","1","TRAM1L1"
"POLR2J3_ENSG00000285437","4","POLR2J3_ENSG00000285437"
"SLC7A2","3","SLC7A2"
"LINC01444","2","LINC01444"
"MAP10","2","MAP10"
"ST8SIA4","4","ST8SIA4"
"ZNF610","2","ZNF610"
"CA9","4","CA9"
"SEMA6D","1","SEMA6D"
"SLITRK1","2","SLITRK1"
"MMP3","1","MMP3"
"ERICH5","2","ERICH5"
"ADAMTS9-AS2","1","ADAMTS9-AS2"
"KRT14","3","KRT14"
"WNK3","2","WNK3"
"ENSG00000279670","4","ENSG00000279670"
"ENSG00000279425","4","ENSG00000279425"
"PTPRB","2","PTPRB"
"LMF1-AS1","1","LMF1-AS1"
"PDE11A","2","PDE11A"
"ENSG00000279283","4","ENSG00000279283"
"ALPL","4","ALPL"
"COL14A1","1","COL14A1"
"RNF212","1","RNF212"
"FOXQ1","2","FOXQ1"
"TMEM255A","1","TMEM255A"
"ZNF93","2","ZNF93"
"KIAA1671","3","KIAA1671"
"SPRN","2","SPRN"
"RAMP1","1","RAMP1"
"INHBB","1","INHBB"
"ZNF702P","2","ZNF702P"
"PARD6G","1","PARD6G"
"PITPNM3","2","PITPNM3"
"PLXDC2","4","PLXDC2"
"ENSG00000186481","2","ENSG00000186481"
"HENMT1","2","HENMT1"
"RTL8B","2","RTL8B"
"ARHGEF3","4","ARHGEF3"
"ZNF454","1","ZNF454"
"MACROD2","4","MACROD2"
"DISC1","2","DISC1"
"SIM2","2","SIM2"
"STC1","4","STC1"
"LINC01684","3","LINC01684"
"SUCNR1","3","SUCNR1"
"DPP6","2","DPP6"
"SCARNA7","4","SCARNA7"
"PTPRD","4","PTPRD"
"FRMPD4","3","FRMPD4"
"FOXP2","2","FOXP2"
"IFI44L","3","IFI44L"
"THRB","1","THRB"
"NNAT","4","NNAT"
"ENSG00000280383","4","ENSG00000280383"
"ZNF662","4","ZNF662"
"ARL17A_ENSG00000228696","4","ARL17A_ENSG00000228696"
"TNXB","3","TNXB"
"SGCG","1","SGCG"
"GPRC5D-AS1","2","GPRC5D-AS1"
"LUZP2","3","LUZP2"
"SYCP2","1","SYCP2"
"CDH1","3","CDH1"
"ITPRIPL1","2","ITPRIPL1"
"KLHL3","1","KLHL3"
"SESN3","2","SESN3"
"ENPP4","4","ENPP4"
