"","C","gene"
"GAD1","2","GAD1"
"C1QL1","1","C1QL1"
"CLCN4","2","CLCN4"
"DYNLT5","1","DYNLT5"
"F7","1","F7"
"COL18A1","1","COL18A1"
"TEX29","1","TEX29"
"IL34","4","IL34"
"RBM47","1","RBM47"
"HTR2A","1","HTR2A"
"CXCL8","3","CXCL8"
"LAMP3","1","LAMP3"
"PDGFRL","3","PDGFRL"
"ACKR3","4","ACKR3"
"ZMAT4","3","ZMAT4"
"ENSG00000286808","4","ENSG00000286808"
"F11R","3","F11R"
"DMGDH","1","DMGDH"
"CRACR2B","2","CRACR2B"
"TNFRSF19","2","TNFRSF19"
"ABCG2","3","ABCG2"
"OLFML1","1","OLFML1"
"P4HA3","1","P4HA3"
"GBX2","1","GBX2"
"ENSG00000267750","1","ENSG00000267750"
"PCSK6","4","PCSK6"
"H19","4","H19"
"RSPO2","2","RSPO2"
"LRRC8B","1","LRRC8B"
"EMID1","1","EMID1"
"PCDHGB7","2","PCDHGB7"
"LOC102546299","4","LOC102546299"
"CCDC8","1","CCDC8"
"SLC2A5","3","SLC2A5"
"GABRQ","1","GABRQ"
"NBEA","2","NBEA"
"PCDHGB3","3","PCDHGB3"
"PCDHB2","2","PCDHB2"
"PCSK5","2","PCSK5"
"LINC00595","2","LINC00595"
"ARHGAP28","4","ARHGAP28"
"TRIM61","1","TRIM61"
"ZNF185","1","ZNF185"
"MT1F","4","MT1F"
"HTR2B","3","HTR2B"
"ST6GALNAC3","3","ST6GALNAC3"
"GUSBP2","4","GUSBP2"
"PRPH2","2","PRPH2"
"BEX5","1","BEX5"
"SLC24A3","2","SLC24A3"
"F3","2","F3"
"JPH2","2","JPH2"
"ENSG00000226919","3","ENSG00000226919"
"FMOD","4","FMOD"
"HHIP-AS1","3","HHIP-AS1"
"CYS1","2","CYS1"
"CACNG7","4","CACNG7"
"FBXO16","1","FBXO16"
"LOC107984270","1","LOC107984270"
"ENSG00000285906","1","ENSG00000285906"
"ENSG00000279789","4","ENSG00000279789"
"STX11","3","STX11"
"LOC100130111","1","LOC100130111"
"ENSG00000279500","4","ENSG00000279500"
"APBB1IP","2","APBB1IP"
"PCDHGA12","2","PCDHGA12"
"CHI3L2","4","CHI3L2"
"ENSG00000270061","4","ENSG00000270061"
"MYO15B","4","MYO15B"
"ENSG00000276259","4","ENSG00000276259"
"HMSD","4","HMSD"
"ARFGEF3","4","ARFGEF3"
"ITGA7","2","ITGA7"
"THEMIS","3","THEMIS"
"CABP1","4","CABP1"
"SGIP1","2","SGIP1"
"SECTM1","3","SECTM1"
"LINC02057","3","LINC02057"
"KCND2","3","KCND2"
"VAV3","1","VAV3"
"GIPC3","1","GIPC3"
"CMYA5","1","CMYA5"
"IL6","4","IL6"
"LRRN3","3","LRRN3"
"DDIT4L","1","DDIT4L"
"KALRN","1","KALRN"
"CYYR1","4","CYYR1"
"ENSG00000227953","4","ENSG00000227953"
"PLAAT4","1","PLAAT4"
"LY96","2","LY96"
"FLRT3","4","FLRT3"
"CRACR2A","3","CRACR2A"
"TSSC2","2","TSSC2"
"RTN1","4","RTN1"
"ENSG00000267042","4","ENSG00000267042"
"ABCA1","3","ABCA1"
"MMP13","4","MMP13"
"CDRT4","4","CDRT4"
"POU3F3","3","POU3F3"
"RINL","1","RINL"
"ENSG00000229152","4","ENSG00000229152"
"ASB2","2","ASB2"
"MXRA5Y","1","MXRA5Y"
"NPIPB11","4","NPIPB11"
"ENSG00000288075","2","ENSG00000288075"
"ENSG00000251273","1","ENSG00000251273"
"ENSG00000235688","4","ENSG00000235688"
"ENSG00000272293","2","ENSG00000272293"
"TFR2","1","TFR2"
"ENSG00000251003","3","ENSG00000251003"
"KIF6","1","KIF6"
"EPHB6","2","EPHB6"
"CCDC30","4","CCDC30"
"ENSG00000234705","4","ENSG00000234705"
"ENSG00000272918","4","ENSG00000272918"
"AIM2","3","AIM2"
"LNX1","2","LNX1"
"SPATA6","4","SPATA6"
"ENSG00000283236","4","ENSG00000283236"
"ISM2","2","ISM2"
"KCNJ3","4","KCNJ3"
"TPPP3","1","TPPP3"
"MYOM1","4","MYOM1"
"TNS3","2","TNS3"
"ADGRG4","2","ADGRG4"
"ADAM28","1","ADAM28"
"ABCC9","3","ABCC9"
"LYPD6","2","LYPD6"
"BCHE","4","BCHE"
"LINC01535","2","LINC01535"
"ENSG00000282980","4","ENSG00000282980"
"G0S2","4","G0S2"
"ENSG00000280138","4","ENSG00000280138"
"TNFRSF8","4","TNFRSF8"
"MDFI","1","MDFI"
"EPHA3","1","EPHA3"
"NOXA1","4","NOXA1"
"LFNG","2","LFNG"
"LINC01013","2","LINC01013"
"CATSPER1","2","CATSPER1"
"SYBU","4","SYBU"
"CAPSL","1","CAPSL"
"FOLR1","2","FOLR1"
"NOMO2","3","NOMO2"
"ZNF418","1","ZNF418"
"EBF2","3","EBF2"
"RSPH9","1","RSPH9"
"KCNB1","2","KCNB1"
"CYGB","1","CYGB"
"ENSG00000230500","1","ENSG00000230500"
"MAP7D2","1","MAP7D2"
"TRBV12-4","2","TRBV12-4"
"SEMA4A","1","SEMA4A"
"LHFPL1","2","LHFPL1"
"SCN3B","4","SCN3B"
"CD9","3","CD9"
"GALC","2","GALC"
"NOMO3","3","NOMO3"
"INSYN1","1","INSYN1"
"ENSG00000254536","4","ENSG00000254536"
"INHBE","4","INHBE"
"TNNT1","3","TNNT1"
"EPHX2","4","EPHX2"
"ADAMTS10","1","ADAMTS10"
"LIPC","2","LIPC"
"ENSG00000267640","1","ENSG00000267640"
"EPHA5-AS1","3","EPHA5-AS1"
"PSD","4","PSD"
"RARRES2","4","RARRES2"
"DNMT3A","2","DNMT3A"
